@RELATION dn2a_lag

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE c-3 REAL
@ATTRIBUTE c-2 REAL
@ATTRIBUTE c-1 REAL
@ATTRIBUTE c REAL

@DATA
-0.028471128,0.570050089,1.676138114,1.744332072,1.785071346,1.798073804
-0.023636788,0.514730162,1.744332072,1.785071346,1.798073804,1.783078452
-0.019242626,0.46021825,1.785071346,1.798073804,1.783078452,1.739845586
-0.015292315,0.406523599,1.798073804,1.783078452,1.739845586,1.668156942
-0.01178922,0.35365511,1.783078452,1.739845586,1.668156942,1.56781584
-0.00873639,0.301621338,1.739845586,1.668156942,1.56781584,1.438647309
-0.006136561,0.250430489,1.668156942,1.56781584,1.438647309,1.280498212
-0.00399215,0.200090416,1.56781584,1.438647309,1.280498212,1.093237354
-0.002305257,0.15060862,1.438647309,1.280498212,1.093237354,0.876755583
-0.00107766,0.101992243,1.280498212,1.093237354,0.876755583,0.630965885
-0.000310819,0.054248073,1.093237354,0.876755583,0.630965885,0.355803461
-5.87E-06,0.007382537,0.876755583,0.630965885,0.355803461,0.051225802
-0.000163625,-0.038598299,0.630965885,0.355803461,0.051225802,-0.282787253
-0.000784576,-0.083688729,0.355803461,0.051225802,-0.282787253,-0.646233461
-0.001868886,-0.127883412,0.051225802,-0.282787253,-0.646233461,-1.039088136
-0.003416396,-0.171177371,-0.282787253,-0.646233461,-1.039088136,-1.461304119
-0.005426621,-0.213565995,-0.646233461,-1.039088136,-1.461304119,-1.912811751
-0.007898748,-0.255045037,-1.039088136,-1.461304119,-1.912811751,-2.393518868
-0.010831642,-0.295610618,-1.461304119,-1.912811751,-2.393518868,-2.903310795
-0.014223841,-0.335259227,-1.912811751,-2.393518868,-2.903310795,-3.442050358
-0.018073557,-0.373987718,-2.393518868,-2.903310795,-3.442050358,-4.009577898
-0.022378677,-0.411793314,-2.903310795,-3.442050358,-4.009577898,-4.605711307
-0.027136764,-0.448673605,-3.442050358,-4.009577898,-4.605711307,-5.230246062
-0.032345057,-0.484626551,-4.009577898,-4.605711307,-5.230246062,-5.882955276
-0.038000473,-0.519650475,-4.605711307,-5.230246062,-5.882955276,-6.563589756
-0.044099605,-0.553744071,-5.230246062,-5.882955276,-6.563589756,-7.271878076
-0.050638726,-0.586906396,-5.882955276,-6.563589756,-7.271878076,-8.007526651
-0.057613789,-0.619136874,-6.563589756,-7.271878076,-8.007526651,-8.770219833
-0.065020428,-0.650435294,-7.271878076,-8.007526651,-8.770219833,-9.559620006
-0.072853962,-0.680801807,-8.007526651,-8.770219833,-9.559620006,-10.3753677
-0.081109392,-0.710236928,-8.770219833,-9.559620006,-10.3753677,-11.21708169
-0.089781408,-0.738741534,-9.559620006,-10.3753677,-11.21708169,-12.08435918
-0.098864388,-0.766316859,-10.3753677,-11.21708169,-12.08435918,-12.97677588
-0.108352399,-0.792964497,-11.21708169,-12.08435918,-12.97677588,-13.89388617
-0.118239201,-0.818686398,-12.08435918,-12.97677588,-13.89388617,-14.8352233
-0.128518252,-0.843484867,-12.97677588,-13.89388617,-14.8352233,-15.8002995
-0.139182705,-0.86736256,-13.89388617,-14.8352233,-15.8002995,-16.78860622
-0.150225414,-0.890322485,-14.8352233,-15.8002995,-16.78860622,-17.79961426
-0.161638935,-0.912367997,-15.8002995,-16.78860622,-17.79961426,-18.832774
-0.173415533,-0.933502796,-16.78860622,-17.79961426,-18.832774,-19.8875156
-0.185547178,-0.953730927,-17.79961426,-18.832774,-19.8875156,-20.96324922
-0.198025556,-0.973056772,-18.832774,-19.8875156,-20.96324922,-22.05936525
-0.210842067,-0.991485054,-19.8875156,-20.96324922,-22.05936525,-23.17523451
-0.223987828,-1.009020828,-20.96324922,-22.05936525,-23.17523451,-24.31020856
-0.237453682,-1.02566948,-22.05936525,-23.17523451,-24.31020856,-25.4636199
-0.251230197,-1.041436724,-23.17523451,-24.31020856,-25.4636199,-26.63478223
-0.26530767,-1.0563286,-24.31020856,-25.4636199,-26.63478223,-27.82299077
-0.279676133,-1.070351468,-25.4636199,-26.63478223,-27.82299077,-29.02752248
-0.294325356,-1.083512004,-26.63478223,-27.82299077,-29.02752248,-30.24763641
-0.309244851,-1.0958172,-27.82299077,-29.02752248,-30.24763641,-31.48257394
